,id,ms_subclass,neighborhood,overall_qual,year_remod/add,exterior_1st,exterior_2nd,mas_vnr_area,exter_qual,foundation,bsmtfin_type_1,bsmtfin_sf_1,heating_qc,1st_flr_sf,gr_liv_area,full_bath,kitchen_qual,fireplaces,garage_finish,garage_area,garage_qual,saleprice,age_sold
29,1957,50,NAmes,5,2006,MetalSd,MetalSd,0.0,3,CBlock,Unf,0.0,5,672,924,1,3,1,Unf,576.0,3.0,122900,58
30,380,20,NWAmes,8,1981,BrkFace,BrkFace,0.0,4,PConc,ALQ,1104.0,3,2524,2524,2,4,1,Fin,542.0,3.0,278000,28
31,2860,70,Crawfor,8,1950,BrkFace,Stucco,0.0,3,PConc,Unf,0.0,2,792,1517,1,4,2,Unf,400.0,3.0,230000,77
32,2517,120,Veenker,8,1996,BrkFace,BrkFace,0.0,4,PConc,LwQ,437.0,5,1494,1494,1,5,1,Fin,481.0,3.0,270000,11
33,1933,20,NAmes,6,1952,Wd Sdng,Wd Sdng,0.0,3,CBlock,ALQ,441.0,3,948,948,1,3,0,Unf,410.0,3.0,125000,55
34,820,20,CollgCr,8,2008,VinylSd,VinylSd,336.0,4,PConc,GLQ,1288.0,5,1718,1718,2,4,1,RFn,826.0,3.0,297000,2
35,675,20,NAmes,6,1958,Wd Sdng,Wd Sdng,82.0,3,CBlock,Unf,0.0,2,1142,1142,1,3,1,RFn,384.0,3.0,113500,51
36,2910,160,MeadowV,5,1977,CemntBd,CmentBd,0.0,3,PConc,ALQ,548.0,5,925,1475,2,3,1,RFn,336.0,3.0,127000,29
37,21,20,NWAmes,6,1977,Plywood,Plywood,480.0,3,CBlock,BLQ,705.0,5,1844,1844,2,3,1,RFn,546.0,3.0,190000,33
38,1873,20,NWAmes,7,1973,HdBoard,HdBoard,320.0,3,CBlock,ALQ,916.0,2,1242,1242,1,3,1,Unf,528.0,3.0,175500,34
39,2125,20,CollgCr,5,1994,VinylSd,VinylSd,0.0,3,PConc,GLQ,420.0,5,990,990,1,3,0,Unf,384.0,3.0,146000,13
40,1489,20,Edwards,5,1965,HdBoard,HdBoard,0.0,4,CBlock,BLQ,830.0,4,1256,1256,1,3,0,Fin,276.0,3.0,147500,43
41,2383,20,NridgHt,10,2006,VinylSd,VinylSd,0.0,5,PConc,GLQ,1386.0,5,2076,2076,2,5,1,Fin,850.0,3.0,465000,0
42,983,85,Mitchel,5,1978,Plywood,Plywood,104.0,3,PConc,GLQ,1097.0,5,1110,1110,1,4,1,Fin,602.0,3.0,165500,31
43,1325,50,OldTown,5,1954,MetalSd,MetalSd,335.0,3,BrkTil,Unf,0.0,5,1050,1795,2,3,0,Unf,352.0,2.0,131500,54
44,1378,20,Sawyer,5,1965,HdBoard,HdBoard,0.0,3,CBlock,Rec,906.0,5,1040,1040,1,3,0,Unf,384.0,3.0,129500,43
45,1537,70,Crawfor,8,1950,BrkFace,Stucco,40.0,3,PConc,LwQ,210.0,3,983,1873,1,3,2,Fin,786.0,2.0,257076,73
46,905,50,Edwards,5,1960,Wd Sdng,Wd Sdng,0.0,3,CBlock,LwQ,408.0,5,984,1604,2,3,0,Unf,660.0,3.0,117000,68
47,1532,70,Crawfor,7,2000,Stucco,Wd Shng,0.0,3,BrkTil,Unf,0.0,3,851,1502,1,3,1,RFn,270.0,3.0,149000,77
48,132,20,NAmes,5,1954,HdBoard,HdBoard,110.0,3,CBlock,Rec,354.0,3,1063,1063,1,3,0,RFn,280.0,3.0,128000,56
49,1078,160,NridgHt,7,2004,VinylSd,Wd Shng,106.0,4,PConc,Unf,0.0,5,764,1626,2,4,0,RFn,474.0,3.0,155000,5
50,2511,160,Somerst,6,2000,MetalSd,MetalSd,513.0,4,PConc,GLQ,353.0,5,768,1524,2,4,0,Unf,440.0,3.0,166000,6
51,912,50,SWISU,4,1950,WdShing,Plywood,0.0,3,BrkTil,BLQ,622.0,3,1328,1981,2,4,2,Unf,576.0,3.0,135000,81
52,2351,60,NWAmes,7,1978,Plywood,Plywood,184.0,3,CBlock,BLQ,790.0,3,1392,2784,3,4,2,RFn,564.0,3.0,250000,28
53,330,160,MeadowV,4,1970,CemntBd,CmentBd,0.0,3,CBlock,GLQ,176.0,5,546,1092,1,3,0,None,0.0,0.0,76000,40
54,2586,20,NAmes,6,1951,Wd Sdng,Wd Sdng,522.0,3,CBlock,Unf,0.0,3,1575,1575,1,4,1,Unf,400.0,3.0,155000,55
55,224,60,Sawyer,6,1969,HdBoard,HdBoard,143.0,3,CBlock,ALQ,371.0,3,663,1352,1,3,0,Fin,299.0,3.0,158000,41
56,98,160,Somerst,7,2005,MetalSd,MetalSd,0.0,4,PConc,GLQ,368.0,5,600,1200,2,4,0,RFn,480.0,3.0,149500,6
57,2565,20,NAmes,5,1975,MetalSd,MetalSd,0.0,3,CBlock,BLQ,486.0,3,936,936,1,3,0,Unf,240.0,3.0,121000,52
58,1934,20,NAmes,6,1953,Wd Sdng,Wd Sdng,0.0,3,CBlock,Rec,85.0,3,1040,1040,1,3,0,Fin,293.0,3.0,136000,54
59,997,60,Gilbert,6,1996,HdBoard,HdBoard,0.0,3,PConc,Rec,138.0,4,916,1636,2,3,1,Fin,386.0,3.0,173000,12
60,64,60,NoRidge,8,2007,VinylSd,VinylSd,348.0,4,PConc,GLQ,524.0,5,1164,2270,2,4,1,Fin,671.0,3.0,290000,11
61,1799,60,Somerst,8,2007,CemntBd,CmentBd,0.0,4,PConc,GLQ,64.0,5,1184,2610,2,5,1,Fin,550.0,3.0,303477,0
62,230,20,ClearCr,7,2001,Wd Sdng,Wd Sdng,0.0,4,CBlock,ALQ,1092.0,4,1483,1483,1,3,2,RFn,690.0,3.0,270000,33
63,1295,50,OldTown,5,1950,WdShing,Wd Shng,0.0,2,BrkTil,Rec,360.0,4,960,1740,1,5,1,Unf,225.0,2.0,122250,88
64,638,20,NAmes,5,1955,AsbShng,AsbShng,0.0,3,CBlock,Rec,172.0,4,1382,1382,1,4,0,Unf,350.0,3.0,153000,54
65,2278,20,Mitchel,5,2007,VinylSd,VinylSd,0.0,3,PConc,ALQ,206.0,5,1120,1120,1,3,0,None,0.0,0.0,147000,0
66,2202,70,Crawfor,7,1995,Wd Sdng,Wd Sdng,0.0,3,BrkTil,GLQ,246.0,3,567,1098,1,3,1,Unf,216.0,3.0,148500,77
67,2833,160,Edwards,7,2004,VinylSd,VinylSd,117.0,4,PConc,Unf,0.0,5,976,1708,2,4,0,Unf,380.0,3.0,130000,2
68,1707,20,NridgHt,9,2006,MetalSd,MetalSd,510.0,5,PConc,Unf,0.0,5,1802,1802,2,5,1,Fin,843.0,3.0,372000,1
69,2428,120,Blmngtn,7,2005,VinylSd,VinylSd,145.0,4,PConc,GLQ,16.0,5,1506,1506,2,4,1,Fin,440.0,3.0,213490,1
70,242,20,Edwards,7,2010,VinylSd,VinylSd,96.0,4,PConc,GLQ,1346.0,5,1508,1508,1,4,2,RFn,572.0,3.0,308030,1
71,1564,20,Mitchel,7,1997,MetalSd,MetalSd,668.0,4,PConc,GLQ,700.0,5,2032,2032,3,4,0,Fin,786.0,3.0,300000,12
72,2613,20,NAmes,6,1959,BrkFace,BrkFace,0.0,3,CBlock,ALQ,655.0,5,1194,1194,1,3,1,Fin,539.0,3.0,159500,47
73,2832,160,Edwards,7,2004,VinylSd,VinylSd,50.0,4,PConc,Unf,0.0,5,970,1709,2,4,0,Unf,380.0,3.0,137500,2
74,2459,20,Somerst,7,2005,VinylSd,VinylSd,228.0,4,PConc,Unf,0.0,5,1616,1616,2,4,0,RFn,834.0,3.0,232000,1
75,1360,30,IDOTRR,6,1950,Stucco,Wd Shng,0.0,4,BrkTil,Unf,0.0,3,768,768,1,3,0,Unf,440.0,3.0,93850,78
76,2723,30,Sawyer,5,1950,BrkFace,Wd Sdng,65.0,3,BrkTil,Unf,0.0,2,872,872,1,2,1,Unf,322.0,2.0,105000,82
77,1350,30,BrkSide,4,1950,MetalSd,MetalSd,0.0,3,BrkTil,Unf,0.0,2,520,520,1,2,0,Unf,240.0,2.0,68500,81
78,136,90,NAmes,5,1960,MetalSd,MetalSd,361.0,3,CBlock,Rec,443.0,3,1105,2274,2,3,0,Unf,480.0,3.0,154300,50
79,2235,50,IDOTRR,5,2003,VinylSd,VinylSd,0.0,4,BrkTil,Unf,0.0,5,936,1601,2,3,0,None,0.0,0.0,129850,82
80,1993,70,OldTown,5,1950,MetalSd,MetalSd,0.0,3,BrkTil,BLQ,168.0,5,616,1232,1,3,0,Unf,480.0,2.0,114000,97
81,367,20,StoneBr,9,2009,VinylSd,VinylSd,748.0,5,PConc,GLQ,1904.0,5,2234,2234,2,5,1,Fin,1166.0,3.0,501837,1
82,1309,50,OldTown,5,1950,Wd Sdng,Wd Sdng,0.0,3,BrkTil,Unf,0.0,4,876,1416,1,3,1,Unf,720.0,3.0,153900,93
83,402,20,NAmes,4,2006,VinylSd,VinylSd,0.0,3,CBlock,ALQ,240.0,4,864,864,1,3,0,Unf,576.0,3.0,130000,38
84,1592,120,Mitchel,6,1997,VinylSd,VinylSd,197.0,3,PConc,GLQ,864.0,5,1189,1189,2,3,0,RFn,392.0,3.0,160500,11
85,2409,120,NridgHt,9,2006,MetalSd,MetalSd,572.0,5,PConc,GLQ,415.0,5,1666,1666,2,4,1,RFn,575.0,3.0,310090,0
86,539,20,SawyerW,7,2003,VinylSd,VinylSd,0.0,4,PConc,GLQ,833.0,5,1200,1200,2,4,0,RFn,555.0,3.0,184900,6
87,1940,20,NAmes,5,2000,Wd Sdng,Wd Sdng,0.0,3,CBlock,Rec,377.0,3,928,928,1,3,0,Unf,252.0,3.0,132000,51
88,588,20,NWAmes,5,1969,HdBoard,HdBoard,128.0,3,CBlock,ALQ,553.0,3,1336,1336,2,3,1,RFn,502.0,3.0,163000,40
89,96,160,Somerst,7,2004,MetalSd,MetalSd,120.0,4,PConc,GLQ,280.0,5,600,1200,2,4,0,RFn,480.0,3.0,155000,6
90,1187,80,NWAmes,6,1969,MetalSd,MetalSd,0.0,3,CBlock,GLQ,828.0,4,1427,1427,2,3,0,RFn,516.0,3.0,183000,39
91,2154,60,CollgCr,7,2002,VinylSd,VinylSd,254.0,4,PConc,GLQ,762.0,5,1212,1992,2,4,2,RFn,608.0,3.0,211000,11
92,550,60,SawyerW,7,1994,VinylSd,VinylSd,0.0,4,PConc,LwQ,36.0,5,754,1540,2,4,0,RFn,495.0,3.0,184000,15
93,811,90,SawyerW,5,1979,HdBoard,HdBoard,0.0,3,Slab,None,0.0,3,1535,1535,2,3,0,Unf,400.0,3.0,118858,30
94,124,80,NAmes,5,1964,Wd Sdng,HdBoard,86.0,3,PConc,GLQ,1014.0,3,1152,1152,1,3,1,RFn,484.0,3.0,180500,46
95,1836,120,Somerst,8,2007,VinylSd,VinylSd,30.0,4,PConc,GLQ,60.0,5,1151,1151,2,4,0,Fin,484.0,3.0,166000,1
96,779,80,Sawyer,6,1960,Wd Sdng,Wd Sdng,54.0,3,CBlock,BLQ,588.0,5,1138,1138,1,3,1,RFn,480.0,3.0,148000,49
97,1886,20,NAmes,5,1956,Wd Sdng,Wd Sdng,0.0,3,CBlock,Rec,438.0,4,1074,1074,1,4,1,Unf,396.0,3.0,124000,51
98,1724,120,NridgHt,9,2005,MetalSd,MetalSd,246.0,5,PConc,GLQ,1153.0,5,1561,1561,2,5,1,Fin,556.0,3.0,277500,2
99,2450,60,NoRidge,8,1995,VinylSd,VinylSd,397.0,4,PConc,ALQ,527.0,5,1358,2726,2,4,1,RFn,725.0,3.0,350000,11
100,1013,20,StoneBr,9,2004,VinylSd,VinylSd,296.0,5,PConc,GLQ,1337.0,5,1884,1884,2,5,1,Fin,670.0,3.0,387000,4
101,2084,30,Edwards,4,2002,Wd Sdng,Wd Sdng,0.0,3,BrkTil,ALQ,348.0,5,605,605,1,3,0,None,0.0,0.0,86000,87
102,1184,20,Veenker,8,2007,VinylSd,VinylSd,0.0,5,CBlock,GLQ,1044.0,5,1671,1671,3,5,1,RFn,550.0,3.0,290000,32
103,728,30,IDOTRR,3,1950,AsbShng,AsbShng,0.0,3,CBlock,Unf,0.0,3,797,797,1,3,0,None,0.0,0.0,44000,109
104,950,60,Mitchel,6,2002,VinylSd,VinylSd,0.0,3,PConc,ALQ,690.0,5,804,1961,2,4,1,Fin,560.0,3.0,215000,8
105,2524,190,NWAmes,5,1972,Plywood,Plywood,144.0,3,CBlock,GLQ,962.0,5,1193,1193,2,3,0,Fin,501.0,3.0,146500,34
106,2513,160,Somerst,7,2000,MetalSd,MetalSd,0.0,4,PConc,GLQ,641.0,5,673,1382,2,4,0,Unf,490.0,3.0,165000,6
107,2028,50,OldTown,6,1950,Stucco,Stucco,0.0,3,BrkTil,Rec,168.0,3,1664,2526,2,4,1,Unf,216.0,3.0,136000,91
108,2309,20,NAmes,6,1957,Wd Sdng,Wd Sdng,902.0,3,CBlock,ALQ,1110.0,5,1390,1390,1,5,2,Unf,550.0,3.0,252000,49
109,51,160,NridgHt,7,2003,VinylSd,Wd Shng,106.0,4,PConc,Unf,0.0,5,764,1626,2,4,0,RFn,474.0,3.0,175500,7
110,699,70,OldTown,5,1950,Wd Sdng,Wd Sdng,0.0,3,BrkTil,ALQ,421.0,3,868,1558,1,3,1,Unf,400.0,3.0,150000,70
111,1881,20,NAmes,5,1978,Wd Sdng,Wd Sdng,0.0,3,CBlock,Unf,0.0,3,1422,1422,1,3,1,RFn,286.0,3.0,139900,47
112,1345,50,BrkSide,5,1992,MetalSd,MetalSd,0.0,3,PConc,Unf,0.0,3,1128,1573,2,3,1,Unf,360.0,3.0,162900,78
113,166,20,NAmes,6,1962,Wd Sdng,Wd Sdng,261.0,3,CBlock,Unf,0.0,3,1116,1116,1,3,0,Unf,440.0,3.0,160000,48
114,781,20,Sawyer,2,1950,Wd Sdng,Wd Sdng,0.0,3,Slab,None,0.0,2,660,660,1,2,0,None,0.0,0.0,63900,62
115,379,20,NWAmes,6,1998,HdBoard,HdBoard,144.0,3,PConc,ALQ,832.0,4,1707,1707,2,3,1,Fin,479.0,3.0,184000,31
116,2818,20,Edwards,5,1959,HdBoard,Plywood,132.0,3,CBlock,BLQ,176.0,3,1466,1466,1,2,2,Fin,528.0,3.0,149900,47
117,1168,120,Somerst,9,2000,MetalSd,MetalSd,260.0,4,PConc,GLQ,1027.0,5,1638,1638,2,5,1,Fin,495.0,3.0,300000,8
118,1396,190,ClearCr,5,1960,Plywood,Plywood,275.0,3,CBlock,Rec,988.0,4,1721,1721,2,3,2,Unf,626.0,3.0,145000,48
119,838,60,CollgCr,6,1997,VinylSd,VinylSd,0.0,3,PConc,GLQ,821.0,5,928,1764,2,4,0,RFn,470.0,3.0,231500,12
120,1492,30,Edwards,5,1969,WdShing,Wd Shng,0.0,3,CBlock,BLQ,290.0,5,996,996,1,3,1,None,0.0,0.0,108000,68
121,637,20,NAmes,5,1956,BrkFace,BrkFace,0.0,3,CBlock,Rec,435.0,3,1202,1202,1,3,0,RFn,304.0,3.0,120000,53
122,1826,20,Sawyer,5,1961,Wd Sdng,Wd Sdng,57.0,3,CBlock,Rec,827.0,3,988,988,1,3,0,Unf,572.0,3.0,128500,46
123,173,30,OldTown,5,1950,WdShing,Wd Shng,0.0,3,CBlock,Unf,0.0,4,1028,1028,1,3,1,Unf,360.0,3.0,115000,83
124,715,50,OldTown,5,1950,AsbShng,AsbShng,0.0,3,CBlock,LwQ,312.0,3,720,1284,1,3,0,Unf,240.0,3.0,110000,62
125,1183,60,Veenker,9,1977,Wd Sdng,Wd Sdng,1050.0,4,CBlock,GLQ,410.0,3,1599,2944,2,4,1,RFn,864.0,3.0,150000,31
126,2433,60,Gilbert,8,2004,VinylSd,VinylSd,0.0,4,PConc,Unf,0.0,5,707,1414,2,4,1,Fin,403.0,3.0,178000,2
127,2866,70,Crawfor,7,1990,Wd Sdng,Wd Sdng,0.0,3,BrkTil,Unf,0.0,5,959,1609,1,4,2,Unf,579.0,3.0,199500,74
128,2311,60,Gilbert,6,1998,VinylSd,VinylSd,0.0,3,PConc,GLQ,700.0,5,813,1525,2,3,1,Fin,400.0,3.0,183500,9
129,1551,80,IDOTRR,5,1967,HdBoard,Plywood,0.0,2,CBlock,Rec,257.0,5,1092,1656,1,3,1,Unf,288.0,3.0,126000,41
130,1049,120,NPkVill,7,1977,Plywood,Brk Cmn,0.0,3,CBlock,ALQ,378.0,2,1055,1055,2,3,0,Unf,440.0,3.0,148500,31
131,657,60,OldTown,5,2006,VinylSd,VinylSd,0.0,3,BrkTil,Unf,0.0,5,676,1352,2,4,0,Unf,720.0,3.0,149000,70
132,414,160,NPkVill,6,1977,Plywood,Brk Cmn,0.0,3,CBlock,ALQ,389.0,3,855,1456,2,3,1,Unf,440.0,3.0,137900,32
133,1181,120,Veenker,8,1993,BrkFace,BrkFace,0.0,4,PConc,GLQ,1619.0,5,1719,1719,1,4,2,Fin,473.0,3.0,324000,15
134,1514,30,Edwards,5,1950,Stucco,Stucco,0.0,3,CBlock,Rec,468.0,3,864,864,1,3,0,None,0.0,0.0,98000,83
135,1040,160,BrDale,6,1973,HdBoard,HdBoard,359.0,3,CBlock,LwQ,458.0,3,483,987,1,3,0,Unf,264.0,3.0,103400,35
136,216,50,Sawyer,5,1996,VinylSd,VinylSd,0.0,3,CBlock,Unf,0.0,4,780,1020,1,3,0,None,0.0,0.0,94000,135
137,1720,120,NridgHt,8,2006,VinylSd,VinylSd,108.0,4,PConc,GLQ,24.0,5,1554,1554,2,4,1,RFn,627.0,3.0,209500,1
138,2331,60,StoneBr,10,2006,CemntBd,CmentBd,662.0,5,PConc,Unf,0.0,5,1528,3390,3,5,1,Fin,758.0,3.0,545224,0
139,204,70,OldTown,6,2009,Wd Sdng,Wd Sdng,0.0,4,PConc,Unf,0.0,5,780,1560,1,4,0,None,0.0,0.0,159900,98
140,19,20,Gilbert,4,1951,VinylSd,VinylSd,0.0,3,CBlock,LwQ,120.0,5,864,864,1,3,0,Unf,400.0,3.0,141000,59
141,2438,60,Gilbert,6,2000,VinylSd,VinylSd,0.0,3,PConc,ALQ,732.0,5,1008,1889,2,3,1,Fin,431.0,3.0,215000,6
142,89,20,Sawyer,5,2010,HdBoard,HdBoard,0.0,3,CBlock,ALQ,659.0,5,1040,1040,1,3,0,Unf,260.0,3.0,127000,48
143,240,20,Edwards,5,1998,WdShing,Wd Shng,0.0,3,CBlock,BLQ,954.0,3,1172,1172,1,3,0,Fin,366.0,3.0,128000,56
144,105,20,Somerst,8,2010,CemntBd,CmentBd,0.0,4,PConc,GLQ,1032.0,5,1418,1418,1,4,1,RFn,852.0,3.0,267916,0
145,2020,50,BrkSide,6,1950,Wd Sdng,Wd Sdng,0.0,3,BrkTil,LwQ,425.0,3,959,1367,1,3,1,Unf,560.0,3.0,127500,76
146,888,85,Edwards,7,2003,HdBoard,HdBoard,500.0,4,Slab,None,0.0,5,495,1922,3,4,1,RFn,672.0,3.0,198500,6
147,1019,20,NWAmes,6,1981,MetalSd,MetalSd,210.0,3,CBlock,GLQ,588.0,3,1422,1422,2,4,1,Fin,576.0,3.0,175500,27
148,2132,60,CollgCr,7,2000,VinylSd,VinylSd,144.0,4,PConc,GLQ,841.0,5,985,1842,2,4,1,Fin,486.0,3.0,217500,7
149,203,50,OldTown,4,1950,MetalSd,MetalSd,0.0,3,CBlock,Unf,0.0,5,888,1962,1,3,1,Unf,572.0,3.0,149500,95
150,420,20,NAmes,5,2004,HdBoard,HdBoard,165.0,4,PConc,BLQ,644.0,5,1120,1120,1,3,1,RFn,656.0,3.0,148800,43
151,2333,60,StoneBr,9,2006,CemntBd,CmentBd,208.0,4,PConc,GLQ,240.0,5,1992,2868,3,5,1,Fin,716.0,3.0,556581,1
152,632,20,NAmes,6,1957,BrkFace,BrkFace,0.0,3,CBlock,ALQ,189.0,4,1478,1478,1,3,2,RFn,442.0,3.0,156500,52
153,2800,60,CollgCr,7,1996,VinylSd,VinylSd,0.0,4,PConc,GLQ,685.0,5,950,1995,2,4,1,RFn,610.0,3.0,237000,11
154,1885,20,NAmes,5,1985,MetalSd,MetalSd,0.0,3,CBlock,BLQ,111.0,2,912,912,1,3,0,Fin,297.0,3.0,120000,49
155,1734,20,Gilbert,6,2005,VinylSd,VinylSd,0.0,3,PConc,GLQ,918.0,5,1326,1326,2,4,0,Fin,388.0,3.0,203000,2
156,2327,120,StoneBr,8,1987,HdBoard,HdBoard,0.0,3,CBlock,Unf,0.0,3,1204,1204,2,3,0,RFn,461.0,3.0,130000,19
157,1282,60,NAmes,6,1964,HdBoard,HdBoard,360.0,3,CBlock,GLQ,674.0,3,798,1611,1,3,0,RFn,442.0,3.0,167900,44
158,2688,190,BrkSide,4,1970,HdBoard,HdBoard,160.0,3,CBlock,ALQ,789.0,3,960,960,1,3,0,Unf,576.0,3.0,129000,36
159,2581,20,NAmes,5,1996,HdBoard,HdBoard,64.0,3,CBlock,BLQ,360.0,3,1236,1236,1,4,1,Unf,447.0,3.0,134450,49
160,2067,30,Sawyer,5,2007,Wd Sdng,Wd Sdng,0.0,3,BrkTil,Unf,0.0,5,1416,1416,2,4,0,Unf,576.0,3.0,112000,89
161,2115,60,SawyerW,7,1988,HdBoard,HdBoard,360.0,4,PConc,GLQ,608.0,5,946,1873,2,4,1,RFn,619.0,3.0,207000,19
162,754,90,OldTown,5,1950,MetalSd,MetalSd,0.0,3,BrkTil,Unf,0.0,3,1088,2128,2,3,0,None,0.0,0.0,62500,87
163,1079,160,NridgHt,7,2004,VinylSd,Wd Shng,106.0,4,PConc,GLQ,573.0,5,764,1626,2,4,0,RFn,474.0,3.0,154000,5
164,2615,20,NAmes,5,1957,WdShing,Wd Shng,0.0,3,CBlock,GLQ,708.0,3,816,816,1,3,0,Unf,308.0,3.0,129900,49
165,329,160,MeadowV,5,1976,CemntBd,CmentBd,0.0,3,CBlock,Rec,129.0,3,536,1112,1,3,0,Unf,336.0,3.0,85000,34
166,1320,50,OldTown,7,1950,Wd Sdng,Wd Sdng,0.0,3,PConc,Unf,0.0,3,572,1111,1,3,1,Unf,288.0,3.0,116900,82
167,416,160,NPkVill,6,1978,Plywood,Brk Cmn,0.0,3,CBlock,ALQ,311.0,3,855,1441,2,3,1,Unf,440.0,3.0,148500,31
168,284,190,Edwards,4,1950,MetalSd,MetalSd,0.0,3,BrkTil,BLQ,348.0,2,672,924,1,2,0,Unf,280.0,3.0,80000,69
169,1385,85,Sawyer,5,1984,VinylSd,VinylSd,0.0,3,PConc,LwQ,104.0,3,1126,1126,1,3,0,Unf,506.0,3.0,152000,24
170,275,20,Edwards,5,1954,VinylSd,VinylSd,0.0,3,CBlock,Unf,0.0,5,992,992,1,3,0,Unf,319.0,3.0,155891,56
171,2024,50,BrkSide,6,1950,Wd Sdng,Wd Shng,0.0,3,PConc,Unf,0.0,5,752,1376,1,4,0,Unf,576.0,3.0,165000,87
